,0
0,1.6745749981885552
1,-2.526653232109898
2,-2.1375671342988913
3,-1.1097023644495783
4,-2.4439870762409397
5,-5.459746328248099
6,-6.454252000876897
7,2.0737649964272067
8,-1.4463319846217917
9,3.42917264221589
10,5.682499371160454
11,8.770646950931837
12,13.483244698690296
13,16.943065940774773
14,15.026320971801319
15,10.107611325713911
16,0.8217880012871359
17,-7.769210667681368
18,-20.082108158631943
19,-15.420701888826802
20,-11.418662614139206
21,-5.793938835944109
22,-13.430256309666802
23,-12.319363516953564
