,0
0,-8.882107393458748
1,-8.842588282620358
2,-8.831018240011515
3,-8.70531997807446
4,-8.721305907902735
5,-8.710100616001547
6,-8.86291899217587
7,-8.873877519906523
8,-9.106188088450779
9,-9.721241042185426
10,-9.849053828757741
11,-9.711861882675349
12,-9.565166387241073
13,-9.527097423593426
14,-10.350923092929218
15,-10.055287322921341
16,-9.820921554106766
17,-9.579207050504488
18,-9.463702640610826
19,-11.105630193590322
20,-10.752318121252305
21,-11.138332711264642
22,-11.165085047667393
23,-10.898162756255623
24,-10.841351292879402
25,-10.320795048319548
26,-10.179231145830006
27,-9.9336559768994
28,-9.59509823111522
29,-10.323762117947556
30,-10.16104970497815
31,-9.848989186643525
32,-9.616862745019718
33,-9.288529811304368
34,-9.322274899541254
35,-9.143618183470162
36,-8.858732005371103
37,-8.654805029360237
38,-9.034548452243616
39,-8.913478785378487
40,-8.737281410836196
41,-8.631069592419895
42,-8.571789031286905
43,-8.464035988265676
44,-8.400361240854556
45,-8.309943917578767
46,-8.062180362592333
47,-7.8424126585215905
48,-7.595666342588771
49,-7.568654315079765
50,-7.5221289079922515
51,-7.481270955463288
52,-7.429806587597421
53,-7.467117601581077
54,-7.43574974448336
55,-7.3195097755651535
56,-7.246060594672402
57,-7.073084286059219
58,-6.987931169029838
59,-6.828412834411275
60,-6.797722271575178
61,-6.446313559264442
62,-6.400767660290005
63,-6.404087914005062
64,-6.5316255949816
65,-6.551040589831583
66,-6.5772881007226776
67,-6.668904418506147
68,-6.53761274530991
69,-6.558740211303233
70,-6.4114744374218775
71,-6.531828391177091
72,-6.533579356807361
73,-6.5744915182957095
74,-6.803807284241698
75,-6.820353308970567
76,-6.42956619742439
77,-6.466601977929334
78,-6.452451561063148
79,-6.32535888676402
80,-6.225839606487709
81,-6.335117519082953
82,-6.157325080556838
83,-6.17522635864302
84,-6.1174716776789
85,-6.178003407443772
86,-6.229239792911432
87,-6.305973519159222
88,-6.446331365534632
89,-6.516272329190098
90,-6.482457827066785
91,-6.550342669820704
92,-6.557964944421217
93,-6.528755069474684
94,-6.611671792635411
95,-6.585762390038967
96,-6.532057266519856
97,-6.471311923807444
98,-6.515766398771381
99,-6.470657719254056
100,-6.496722095527519
