Ep   12/1500 | Reward=-2033.03 | EpBest=  3433.0万 | GlobalBest=  2828.6万 | LPSP= 0.16% | LREG= 2.49% | Imp=18 | MILP= 50 | ALoss=-0.1139 CLoss=132005.7242 | LR=1.0e-04 | Time=245s
Ep   13/1500 | Reward= -108.74 | EpBest=  3254.3万 | GlobalBest=  2828.6万 | LPSP= 0.00% | LREG= 9.84% | Imp= 3 | MILP= 30 | ALoss=-0.1120 CLoss=643.1943 | LR=1.0e-04 | Time=259s
Ep   14/1500 | Reward= -520.73 | EpBest=  3595.5万 | GlobalBest=  2828.6万 | LPSP= 0.00% | LREG= 3.22% | Imp=13 | MILP= 44 | ALoss=-0.1000 CLoss=6307.1342 | LR=1.0e-04 | Time=288s
Ep   15/1500 | Reward= -200.78 | EpBest=  3754.3万 | GlobalBest=  2828.6万 | LPSP= 0.00% | LREG= 8.12% | Imp= 5 | MILP= 32 | ALoss=-0.1058 CLoss=1473.2197 | LR=1.0e-04 | Time=303s
Ep   16/1500 | Reward= -181.49 | EpBest=  3526.0万 | GlobalBest=  2828.6万 | LPSP= 0.00% | LREG= 8.45% | Imp= 6 | MILP= 31 | ALoss=-0.1099 CLoss=1125.5692 | LR=1.0e-04 | Time=320s
Ep   17/1500 | Reward= -475.91 | EpBest=  3367.8万 | GlobalBest=  2828.6万 | LPSP= 0.47% | LREG= 3.63% | Imp= 2 | MILP= 28 | ALoss=-0.1163 CLoss=7638.8574 | LR=1.0e-04 | Time=335s
Ep   18/1500 | Reward= -710.64 | EpBest=  3102.1万 | GlobalBest=  2828.6万 | LPSP= 0.00% | LREG= 0.57% | Imp= 6 | MILP= 29 | ALoss=-0.1249 CLoss=14154.5989 | LR=1.0e-04 | Time=353s
Ep   19/1500 | Reward= -112.93 | EpBest=  3158.7万 | GlobalBest=  2828.6万 | LPSP= 0.05% | LREG= 3.04% | Imp= 7 | MILP= 28 | ALoss=-0.0950 CLoss=1372.3456 | LR=1.0e-04 | Time=366s
Ep   20/1500 | Reward=  -65.72 | EpBest=  3312.1万 | GlobalBest=  2828.6万 | LPSP= 0.00% | LREG= 1.76% | Imp= 2 | MILP= 18 | ALoss=-0.1308 CLoss=1562.3810 | LR=1.0e-04 | Time=375s
Ep   21/1500 | Reward=-2425.23 | EpBest=  3879.8万 | GlobalBest=  2828.6万 | LPSP= 0.58% | LREG= 3.93% | Imp= 6 | MILP= 34 | ALoss=-0.1139 CLoss=309024.4375 | LR=1.0e-04 | Time=401s
Ep   22/1500 | Reward= -165.66 | EpBest=  3693.2万 | GlobalBest=  2828.6万 | LPSP= 0.00% | LREG= 3.76% | Imp= 3 | MILP= 28 | ALoss=-0.1012 CLoss=1529.6861 | LR=1.0e-04 | Time=414s
Ep   23/1500 | Reward=  -60.47 | EpBest=  3509.4万 | GlobalBest=  2828.6万 | LPSP= 0.00% | LREG=21.92% | Imp= 0 | MILP= 15 | ALoss=-0.1007 CLoss=1305.4577 | LR=1.0e-04 | Time=420s
Ep   24/1500 | Reward=  -56.16 | EpBest=  3260.1万 | GlobalBest=  2828.6万 | LPSP= 0.00% | LREG= 4.77% | Imp= 1 | MILP= 16 | ALoss=-0.1040 CLoss=575.2660 | LR=1.0e-04 | Time=427s
